일련번호,보유기술
DEV185,Bash/Shell;C#;Java;JavaScript;Node.js;Objective-C;SQL;Swift;TypeScript;Git;Yarn;ASP.NET;ASP.NET Core ;React.js;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;SQLite
DEV186,Bash/Shell;Python;SQL;Docker;Git;Kubernetes;Flask;AWS;PostgreSQL;Redis
DEV187,Bash/Shell;Go;Groovy;Java;Python;Ansible;Docker;Git;Kubernetes;Terraform;AWS;Cassandra;Elasticsearch;PostgreSQL;Redis
DEV188,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Git;Unity 3D;jQuery;React.js;Vue.js;Microsoft SQL Server;MySQL;PostgreSQL
DEV189,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;VBA;Ansible;Docker;Git;Kubernetes;Unity 3D;Unreal Engine;Angular;Express;MariaDB;MySQL
DEV190,HTML/CSS;JavaScript;PHP;Git;Drupal;jQuery;React.js;MySQL
DEV191,Java;Python;Scala;Docker;Git;Flask;Spring;Microsoft Azure;Elasticsearch;MongoDB;PostgreSQL
DEV192,C#;C++;HTML/CSS;JavaScript;PHP;SQL;Ansible;Git;jQuery;MySQL
DEV193,C++;HTML/CSS;Java;JavaScript;SQL;VBA;Git;Yarn;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Spring;AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft SQL Server;MongoDB;MySQL;Oracle
DEV194,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Unity 3D;Angular;Angular.js;Express;jQuery;Vue.js;AWS;DigitalOcean;Heroku;MongoDB
DEV195,Assembly;C;C#;C++;F#;Haskell;HTML/CSS;Java;PowerShell;Python;SQL;VBA;Git;Terraform;Unity 3D;Xamarin;ASP.NET;Drupal;Ruby on Rails;MySQL;PostgreSQL;SQLite
DEV196,C#;Python;TypeScript;Docker;Git;Yarn;Angular;ASP.NET;ASP.NET Core ;Flask;AWS;Microsoft Azure;Microsoft SQL Server;PostgreSQL
DEV197,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript;VBA;Ansible;Docker;Git;Kubernetes;Yarn;Angular.js;Django;Express;jQuery;React.js;Vue.js;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite
DEV198,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Docker;Git;Kubernetes;Angular;jQuery;Spring;Vue.js;AWS;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis
DEV199,HTML/CSS;JavaScript;PHP;SQL;TypeScript;Docker;Git;Angular;Angular.js;Drupal;jQuery;Laravel;Microsoft Azure;Microsoft SQL Server;MySQL;Oracle;SQLite
DEV200,Bash/Shell;Objective-C;Swift;Git
DEV201,C#;HTML/CSS;JavaScript;Python;TypeScript;VBA;Git;Angular;ASP.NET Core ;Microsoft SQL Server
DEV202,C++;Dart;Python;Docker;Git;Firebase
DEV203,Git;AWS;Microsoft Azure;Oracle
